trip_id,timestamp,origin_lat,origin_lon,origin_h3_cell,destination_lat,destination_lon,destination_h3_cell,distance_miles,surge_multiplier,fare,status,vehicle_id,pickup_distance,pickup_time_minutes
TRIP_000066,1467.2622388672944,41.09788,-81.474775,872ab3ae0ffffff,41.1142802,-81.4669851,872ab3ae4ffffff,0.0,1.0,3.0,assigned,6.0,1.487179917760473,3.569231802625136
TRIP_000067,1494.8484449311688,41.117026,-81.510059,872ab3af5ffffff,41.104499,-81.564466,872ab3af2ffffff,3.964597660993509,1.0,6.171678128794808,assigned,39.0,0.95156954617913,2.2837669108299132
TRIP_000068,1515.6211161503963,41.065205,-81.45617,872ab3aeeffffff,41.114981,-81.505157,872ab3af5ffffff,5.3965126414150895,1.0,7.317210113132071,assigned,15.0,1.524250540106124,3.658201296254698
TRIP_000069,1527.4748619883576,41.103798,-81.555123,872ab3af0ffffff,41.090499,-81.556281,872ab3af3ffffff,1.4140138249989511,1.0,4.131211059999162,assigned,2.0,1.5248615150062041,3.65966763601489
TRIP_000070,1530.7936672845713,41.110054,-81.513619,872ab3af5ffffff,41.138802,-81.537201,872ab3af4ffffff,4.885275079013267,1.0,6.908220063210614,assigned,4.0,1.487262556339571,3.569430135214972
TRIP_000071,1533.2773142813194,41.077345,-81.550949,872ab3ac6ffffff,41.1245702,-81.5493398,872ab3af4ffffff,3.565199526198178,1.0,5.8521596209585445,assigned,50.0,0.9088294846975451,2.181190763274108
TRIP_000072,1560.8189654071764,41.10097,-81.536739,872ab3af1ffffff,41.132842,-81.49429,872ab3a1bffffff,4.402919227967699,1.0,6.522335382374159,assigned,90.0,0.43642473318196806,1.047419359636723
TRIP_000073,1574.242480606257,41.082416,-81.464276,872ab3ae1ffffff,41.133162,-81.466314,872ab3a19ffffff,3.669165570772879,1.0,5.935332456618304,assigned,19.0,1.565216538007179,3.756519691217229
TRIP_000074,1621.0601226396593,41.1134129,-81.4903777,872ab3ae6ffffff,41.1257359,-81.4748965,872ab3a19ffffff,1.562934983413265,1.0,4.250347986730612,assigned,7.0,0.44855665583946003,1.076535974014705
TRIP_000075,1654.3328170056886,41.0440731,-81.5291621,872ab3ac3ffffff,41.111981,-81.490428,872ab3ae6ffffff,6.183196144223379,1.0,7.946556915378704,assigned,8.0,1.4862724826533291,3.56705395836799
TRIP_000076,1688.1126625917339,41.07662,-81.500809,872ab3ac4ffffff,41.067493,-81.494227,872ab3ac5ffffff,1.008874930908359,1.0,3.807099944726687,assigned,55.0,0.12553103160129,0.301274475843097
TRIP_000077,1701.3577948568745,41.108739,-81.51934,872ab3af5ffffff,41.059715,-81.500284,872ab3ac5ffffff,4.231470482940626,1.0,6.385176386352501,assigned,10.0,1.487262556339571,3.569430135214972
TRIP_000078,1721.1196163348134,41.103787,-81.516342,872ab3af5ffffff,41.121405,-81.491758,872ab3ae6ffffff,1.850033267509469,1.0,4.480026614007576,assigned,13.0,1.487262556339571,3.569430135214972
TRIP_000079,1734.5271347647576,41.085831,-81.537132,872ab3af1ffffff,41.052683,-81.516294,872ab3ac0ffffff,3.230277810014433,1.0,5.584222248011546,assigned,29.0,0.099402695596758,0.238566469432219
TRIP_000080,1761.9653718540014,41.037814,-81.445728,872ab3ae8ffffff,41.082388,-81.509741,872ab3ac4ffffff,5.323375376647447,1.0,7.258700301317957,requested,,,
TRIP_000081,1765.6339964677127,41.091743,-81.470679,872ab3ae0ffffff,41.080584,-81.443233,872ab3ae1ffffff,2.399080038127322,1.0,4.919264030501858,assigned,28.0,1.487179917760473,3.569231802625136
TRIP_000082,1767.9038224034662,41.079963,-81.547178,872ab3ac6ffffff,41.111523,-81.565203,872ab3af2ffffff,2.761414329348221,1.0,5.209131463478577,assigned,78.0,0.78855166914949,1.892524005958778
TRIP_000083,1825.5767181409074,41.096914,-81.503798,872ab3ae2ffffff,41.027899,-81.462184,872ab3aebffffff,6.68622217279753,1.0,8.348977738238023,assigned,74.0,0.029751158957149002,0.071402781497159
TRIP_000084,1905.9706485449005,41.049148,-81.479461,872ab3aeaffffff,41.083359,-81.547425,872ab3af3ffffff,5.185284143284819,1.0,7.148227314627856,assigned,41.0,1.5239908170782561,3.657577960987816
TRIP_000085,1916.5334108105474,41.136242,-81.468922,872ab3a19ffffff,41.0254937,-81.4789679,872ab3accffffff,9.293334384399868,1.0,10.434667507519894,assigned,22.0,1.565685174616202,3.7576444190788862
TRIP_000086,1953.4710740803314,41.050004,-81.491073,872ab3ac5ffffff,41.045283,-81.5476108,872ab3ac2ffffff,3.843912581212932,1.0,6.075130064970346,assigned,54.0,0.8175483467412931,1.9621160321791031
TRIP_000087,1960.0356044439861,41.090716,-81.473792,872ab3ae0ffffff,41.0982053,-81.5723998,872ab3af2ffffff,5.964957259937662,1.0,7.77196580795013,assigned,62.0,1.487179917760473,3.569231802625136
TRIP_000088,1962.26358621793,41.071109,-81.495151,872ab3ac4ffffff,41.077908,-81.5501045,872ab3ac6ffffff,3.398114471146774,1.0,5.718491576917419,assigned,67.0,0.24733997702093802,0.593615944850251
TRIP_000089,1971.8508486283547,41.12508,-81.508544,872ab3a1bffffff,41.0704737,-81.5640167,872ab3ad5ffffff,5.667229168721098,1.0,7.533783334976879,assigned,84.0,1.4876416424118881,3.570339941788531
TRIP_000090,2019.4225462009892,41.059137,-81.531211,872ab3ac0ffffff,41.0319638,-81.4913967,872ab3accffffff,3.722817917632928,1.0,5.978254334106342,assigned,64.0,0.189725391789293,0.45534094029430505
TRIP_000091,2022.1183084206377,41.084295,-81.553917,872ab3af3ffffff,41.092619,-81.496508,872ab3ae2ffffff,3.74917567030728,1.0,5.999340536245825,assigned,1.0,1.487113984437022,3.5690735626488532
TRIP_000092,2042.5227802187014,41.1345724,-81.4664642,872ab3a19ffffff,41.07234,-81.503653,872ab3ac4ffffff,5.632361510368004,1.0,7.505889208294404,assigned,80.0,1.4877897875083501,3.57069549002004
TRIP_000093,2054.5075989047627,41.101051,-81.516511,872ab3af5ffffff,41.062114,-81.511527,872ab3ac0ffffff,3.334239647006236,1.0,5.667391717604989,assigned,52.0,1.360942519278737,3.266262046268969
TRIP_000094,2067.526129954145,41.1020357,-81.4485835,872ab3ae5ffffff,41.1343509,-81.491737,872ab3a19ffffff,3.688727912173179,1.0,5.950982329738544,assigned,6.0,1.5247694841488741,3.6594467619572972
TRIP_000095,2070.1339247121905,41.031788,-81.576707,872ab3adcffffff,41.059737,-81.503704,872ab3ac5ffffff,5.367999792646623,1.0,7.294399834117299,assigned,32.0,1.486123651669605,3.566696764007053
TRIP_000096,2084.599820843045,41.097237,-81.453876,872ab3ae5ffffff,41.061325,-81.452107,872ab3aeeffffff,4.060683751331091,1.0,6.248547001064873,assigned,71.0,1.565440028849061,3.757056069237747
TRIP_000097,2104.9873188363495,41.120871,-81.492417,872ab3ae6ffffff,41.126889,-81.465553,872ab3ae4ffffff,2.248584519955776,1.0,4.798867615964621,assigned,60.0,1.01092942070382,2.426230609689168
TRIP_000098,2108.374751211313,41.049139,-81.494135,872ab3ac5ffffff,41.066069,-81.549117,872ab3ac6ffffff,3.985779499374492,1.0,6.188623599499595,assigned,92.0,1.187524543149638,2.8500589035591313
TRIP_000099,2129.2706989156236,41.044064,-81.4868811,872ab3aeaffffff,41.124514,-81.49422,872ab3ae6ffffff,6.148139288120023,1.0,7.918511430496019,assigned,45.0,0.20891937486358703,0.5014064996726091
TRIP_000100,2142.771984829351,41.110954,-81.484086,872ab3ae6ffffff,41.0945322,-81.4994503,872ab3ae2ffffff,3.295654406321408,1.0,5.636523525057127,assigned,27.0,1.487410873314327,3.5697860959543872
TRIP_000101,2225.6222196387043,41.067535,-81.548823,872ab3ac6ffffff,41.068437,-81.442207,872ab3aecffffff,6.30023047180391,1.0,8.04018437744313,assigned,20.0,0.228974140837979,0.54953793801115
TRIP_000102,2239.2352846898107,41.083228,-81.55391,872ab3af3ffffff,41.10971,-81.564396,872ab3af2ffffff,2.257762937228581,1.0,4.806210349782865,assigned,87.0,0.40447418308250305,0.9707380393980071
TRIP_000103,2326.8684866836284,41.1229639,-81.5785638,872ab3af6ffffff,41.0723971,-81.5234092,872ab3ac4ffffff,4.880389873771384,1.0,6.904311899017108,assigned,63.0,1.5251510084214221,3.6603624202114142
TRIP_000104,2335.938586080945,41.062355,-81.479127,872ab3ac5ffffff,41.036505,-81.4913244,872ab3ac1ffffff,3.1559865817612622,1.0,5.52478926540901,assigned,43.0,0.823103556406199,1.975448535374878
TRIP_000105,2341.8501752437123,41.13207,-81.454119,872ab3a0affffff,41.038558,-81.518147,872ab3ac1ffffff,8.75009355515249,1.0,10.000074844121993,assigned,7.0,1.4879376772134751,3.57105042531234
TRIP_000106,2347.5360224493575,41.123482,-81.469787,872ab3ae4ffffff,41.1066,-81.487508,872ab3ae6ffffff,2.018818520341593,1.0,4.615054816273274,assigned,85.0,0.32245046481155504,0.7738811155477341
TRIP_000107,2347.739764059716,41.076361,-81.525021,872ab3ac4ffffff,41.0268847,-81.4622915,872ab3aebffffff,6.45289308008067,1.0,8.162314464064536,assigned,14.0,0.20812580034241202,0.499501920821791
TRIP_000108,2362.8691000678864,41.07068,-81.516538,872ab3ac4ffffff,41.043339,-81.565245,872ab3adcffffff,4.179812881796705,1.0,6.343850305437364,assigned,11.0,0.32261301095635303,0.774271226295248
TRIP_000109,2372.649446406486,41.0393884,-81.4577676,872ab3ae8ffffff,41.0924085,-81.564765,872ab3af3ffffff,8.10710249307211,1.0,9.48568199445769,requested,,,
TRIP_000110,2508.455594917468,41.0824718,-81.5178805,872ab3ac4ffffff,41.068493,-81.450518,872ab3aeeffffff,3.9978722978041112,1.0,6.19829783824329,assigned,56.0,0.20187324484600502,0.48449578763041407
TRIP_000111,2512.846911549162,41.0493,-81.504809,872ab3ac1ffffff,41.093433,-81.453787,872ab3ae1ffffff,4.574338266577233,1.0,6.659470613261787,assigned,40.0,0.5187458292608801,1.244989990226113
TRIP_000112,2577.311303062577,41.0698616,-81.530834,872ab3ac6ffffff,41.076631,-81.491517,872ab3ae3ffffff,2.644267250014388,1.0,5.115413800011511,assigned,66.0,0.27803378860563205,0.6672810926535191
TRIP_000113,2580.0133449383343,41.1166459,-81.4851767,872ab3ae6ffffff,41.035651,-81.516326,872ab3ac1ffffff,6.500025722432951,1.0,8.200020577946361,assigned,15.0,1.030977748988238,2.474346597571771
TRIP_000114,2580.4333734953625,41.0482961,-81.5717813,872ab3ad1ffffff,41.125155,-81.56907,872ab3af6ffffff,5.445680554506653,1.0,7.356544443605323,assigned,30.0,1.52408238949072,3.657797734777728
TRIP_000115,2581.676081848111,41.08424,-81.556344,872ab3af3ffffff,41.063681,-81.44185,872ab3aecffffff,6.551367975202819,1.0,8.241094380162256,assigned,2.0,0.43246863533258706,1.037924724798209
TRIP_000116,2632.4694772647335,41.118452,-81.544934,872ab3af0ffffff,41.136442,-81.49487,872ab3a1bffffff,5.529377012728515,1.0,7.423501610182813,assigned,39.0,0.9176498798201411,2.202359711568339
TRIP_000117,2658.3150359028123,41.0641378,-81.5115137,872ab3ac0ffffff,41.0965366,-81.5587831,872ab3af3ffffff,3.70183064592123,1.0,5.961464516736984,assigned,79.0,0.20051943899608002,0.48124665359059304
TRIP_000118,2721.598648619052,41.074070999999996,-81.544318,872ab3ac6ffffff,41.078221,-81.468538,872ab3ae3ffffff,4.5828922008220845,1.0,6.666313760657667,assigned,21.0,0.131637187468879,0.315929249925311
TRIP_000119,2727.1796347034506,41.084105,-81.561836,872ab3af3ffffff,41.0394653,-81.5464436,872ab3ac3ffffff,3.9077598784164023,1.0,6.126207902733122,assigned,38.0,1.487113984437022,3.5690735626488532
TRIP_000120,2740.410852190888,41.061258,-81.456127,872ab3aeeffffff,41.124931,-81.442237,872ab3a0bffffff,5.814965042220436,1.0,7.6519720337763495,assigned,49.0,0.7497634740630461,1.79943233775131
TRIP_000121,2756.8964823504252,41.100093,-81.5874624,872ab3af2ffffff,41.053197,-81.450985,872ab3ae8ffffff,0.0,1.0,3.0,assigned,78.0,1.52489158402394,3.6597398016574583
TRIP_000122,2793.0229372315466,41.1066999,-81.4894911,872ab3ae6ffffff,41.0597248,-81.4539996,872ab3aeeffffff,4.807642502233085,1.0,6.846114001786468,assigned,31.0,1.487410873314327,3.5697860959543872
TRIP_000123,2825.551773622168,41.0614,-81.499071,872ab3ac5ffffff,41.042555,-81.507149,872ab3ac1ffffff,1.65887540325958,1.0,4.327100322607665,assigned,47.0,0.3306685044434,0.79360441066416
TRIP_000124,2833.7888638432114,41.08477,-81.468976,872ab3ae3ffffff,41.111512,-81.5614714,872ab3af0ffffff,5.653289510832256,1.0,7.522631608665805,assigned,57.0,0.278299478543782,0.667918748505077
TRIP_000125,2838.888761148439,41.073264,-81.5358973,872ab3ac6ffffff,41.033348,-81.524929,872ab3ac3ffffff,3.334349517008277,1.0,5.667479613606622,assigned,24.0,0.0,0.0
TRIP_000126,2839.1187603380135,41.050352,-81.488875,872ab3ac5ffffff,41.051874,-81.51006,872ab3ac0ffffff,1.2444267282601,1.0,3.99554138260808,assigned,48.0,1.260462461325645,3.025109907181548
